tree_order	std_name	accession	replicate
444	BME	ERR9594134	1
445	ARS	ERR9593871	1
446	ARN	ERR9593867	1
447	BGM	ERR9594050	1
448	BGP	ERR9594052	1
449	BFH	ERR9594028	1
450	BGR	ERR9594054	1
451	ASN	ERR9593883	1
452	BGK	ERR9594048	1
453	BGS	ERR9594055	1
454	BGD	ERR9594043	1
456	ALD	ERR9593778	1
457	BFS	ERR9594037	1
457	BFS	ERR9594038	2
458	BGB	ERR9594041	1
459	BGF	ERR9594045	1
460	BGG	ERR9594046	1
461	ARR	ERR9593870	1
463	BGE	ERR9594044	1
464	BGL	ERR9594049	1
465	BFV	ERR9594039	1
466	BGA	ERR9594040	1
467	BGT	ERR9594056	1
468	BGV	ERR9594057	1
469	BGH	ERR9594047	1
470	BGN	ERR9594051	1
471	BGC	ERR9594042	1
472	BGQ	ERR9594053	1
473	CKV	ERR9594426	1
474	AFL	ERR9593692	1
475	AEN	ERR9593674	1
476	ASC	ERR9593877	1
477	ANL	ERR9593818	1
478	ANM	ERR9593819	1
479	AVN	ERR9593912	1
480	AVP	ERR9593913	1
481	AVQ	ERR9593914	1
481	AVQ	ERR9593915	2
483	AVS	ERR9593916	1
484	AVT	ERR9593917	1
485	BEK	ERR9594012	1
486	BEM	ERR9594013	1
486	BEM	ERR9594014	2
487	BEI	ERR9594011	1
488	BEN	ERR9594015	1
489	BHA	ERR9594058	1
490	BDN	ERR9593993	1
491	CES	ERR9594333	1
493	CET	ERR9594334	1
494	BPI	ERR9594172	1
495	BPN	ERR9594177	1
496	SACE_YDB	ERR9594603	1
497	AAB	ERR9593591	1
498	CBN	ERR9594281	1
498	CBN	ERR9594282	2
500	CFF	ERR9594340	1
501	AFB	ERR9593681	1
502	AFA	ERR9593680	1
503	AFP	ERR9593695	1
505	SACE_YAB	ERR9594541	1
506	AAR	ERR9593603	1
507	AEA	ERR9593663	1
507	AEA	ERR9593664	2
508	BRM	ERR9594207	1
508	BRM	ERR9594208	2
509	AEQ	ERR9593676	1
510	SACE_YAG	ERR9594545	1
511	AAQ	ERR9593602	1
512	ASB	ERR9593875	1
512	ASB	ERR9593876	2
513	APP	ERR9593839	1
514	CPD	ERR9594480	1
515	AIG	ERR9593745	1
515	AIG	ERR9593746	2
516	ARE	ERR9593860	1
517	SACE_YDD	ERR9594605	1
518	AFQ	ERR9593696	1
519	CDM	ERR9594310	1
520	SACE_YCF	ERR9594586	1
521	CFT	ERR9594348	1
522	AER	ERR9593677	1
523	BCV	ERR9593980	1
524	BDB	ERR9593982	1
525	BDD	ERR9593984	1
526	BDA	ERR9593981	1
527	BDE	ERR9593985	1
528	BDH	ERR9593988	1
529	BDI	ERR9593989	1
530	BDK	ERR9593990	1
531	SACE_YCT	ERR9594600	1
532	SACE_YCC	ERR9594583	1
533	BHG	ERR9594064	1
534	BHH	ERR9594065	1
535	BHI	ERR9594066	1
536	SACE_MAA	ERR9594537	1
538	AFF	ERR9593687	1
539	AAL	ERR9593599	1
540	AAM	ERR9593600	1
541	ANP	ERR9593821	1
542	AHV	ERR9593738	1
543	ATS	ERR9593902	1
544	BBP	ERR9593954	1
545	CDR	ERR9594315	1
546	BMG	ERR9594136	1
547	CHL	ERR9594377	1
549	AMK	ERR9593801	1
550	AML	ERR9593802	1
551	AMI	ERR9593800	1
552	AMG	ERR9593798	1
553	AMQ	ERR9593806	1
554	APK	ERR9593835	1
555	APN	ERR9593838	1
556	CIE	ERR9594393	1
557	AEM	ERR9593673	1
558	AFT	ERR9593699	1
559	AQI	ERR9593849	1
560	AFE	ERR9593686	1
561	ATR	ERR9593901	1
562	AFC	ERR9593682	1
563	APM	ERR9593837	1
564	API	ERR9593834	1
565	ASL	ERR9593881	1
566	BTF	ERR9594230	1
567	ASP	ERR9593884	1
568	BCR	ERR9593976	1
569	BCS	ERR9593977	1
570	BCT	ERR9593978	1
570	BCT	ERR9593979	2
571	AGK	ERR9593708	1
572	AGE	ERR9593704	1
573	BTC	ERR9594227	1
574	ABV	ERR9593624	1
575	ALV	ERR9593792	1
576	BBC	ERR9593943	1
577	AMN	ERR9593804	1
578	CFP	ERR9594345	1
579	BBF	ERR9593946	1
580	AAP	ERR9593601	1
581	ALN	ERR9593786	1
582	ALP	ERR9593787	1
583	BBD	ERR9593944	1
584	BBE	ERR9593945	1
586	CHI	ERR9594376	1
587	APL	ERR9593836	1
589	CFI	ERR9594342	1
590	CFN	ERR9594344	1
592	CHH	ERR9594375	1
593	ADL	ERR9593655	1
594	BDL	ERR9593991	1
595	BFM	ERR9594031	1
596	BFE	ERR9594026	1
597	BFG	ERR9594027	1
598	BTD	ERR9594228	1
599	ADM	ERR9593656	1
600	AKT	ERR9593773	1
601	CHG	ERR9594374	1
602	CHR	ERR9594382	1
603	BML	ERR9594140	1
604	BTE	ERR9594229	1
605	BMM	ERR9594141	1
606	CBF	ERR9594274	1
607	CKK	ERR9594418	1
608	CKS	ERR9594424	1
609	CLA	ERR9594427	1
610	SACE_YBW	ERR9594576	1
610	SACE_YBW	ERR9594577	2
611	CPI	ERR9594484	1
612	CPM	ERR9594487	1
613	CPK	ERR9594485	1
614	CPL	ERR9594486	1
615	CPQ	ERR9594489	1
616	CPN	ERR9594488	1
617	CPR	ERR9594490	1
618	ALI	ERR9593782	1
619	BCG	ERR9593966	1
620	BCB	ERR9593961	1
621	BCM	ERR9593972	1
622	BDT	ERR9593999	1
623	BCF	ERR9593965	1
624	BCL	ERR9593970	1
624	BCL	ERR9593971	2
625	BCD	ERR9593963	1
626	BDP	ERR9593994	1
627	BCI	ERR9593968	1
628	BCC	ERR9593962	1
629	BEC	ERR9594004	1
630	BED	ERR9594005	1
631	BCE	ERR9593964	1
632	BCQ	ERR9593975	1
633	BDV	ERR9594000	1
634	BNB	ERR9594148	1
635	BDR	ERR9593996	1
636	BMV	ERR9594146	1
637	BNA	ERR9594147	1
638	BCH	ERR9593967	1
639	BCP	ERR9593974	1
640	BDS	ERR9593997	1
640	BDS	ERR9593998	2
641	BCN	ERR9593973	1
642	BEA	ERR9594001	1
642	BEA	ERR9594002	2
643	BNC	ERR9594149	1
644	BDQ	ERR9593995	1
645	BEB	ERR9594003	1
646	BCK	ERR9593969	1
647	BMR	ERR9594145	1
648	BEE	ERR9594006	1
649	BND	ERR9594150	1
650	CQS	ERR9594510	1
651	BBM	ERR9593953	1
652	CPA	ERR9594477	1
653	ADE	ERR9593649	1
653	ADE	ERR9593650	2
655	SACE_YBV	ERR9594575	1
656	SACE_YAX	ERR9594556	1
657	SACE_YCG	ERR9594587	1
658	AAH	ERR9593596	1
659	AFS	ERR9593698	1
660	AGC	ERR9593703	1
663	ATV	ERR9593903	1
665	CBR	ERR9594283	1
667	CFH	ERR9594341	1
668	AEC	ERR9593666	1
669	CFD	ERR9594338	1
670	CFM	ERR9594343	1
671	AQT	ERR9593856	1
672	BRP	ERR9594209	1
674	AEB	ERR9593665	1
675	ASH	ERR9593880	1
676	BBG	ERR9593947	1
678	CGC	ERR9594351	1
678	CGC	ERR9594352	2
679	CNC	ERR9594461	1
680	BMQ	ERR9594143	1
680	BMQ	ERR9594144	2
681	ACN	ERR9593638	1
682	CBK	ERR9594279	1
684	AKI	ERR9593763	1
685	ADA	ERR9593645	1
686	ATE	ERR9593894	1
687	CBM	ERR9594280	1
688	ACA	ERR9593625	1
688	ACA	ERR9593626	2
689	ACB	ERR9593627	1
691	ADT	ERR9593661	1
692	SACE_GAV	ERR9594536	1
693	SACE_YCE	ERR9594585	1
694	SACE_YCH	ERR9594588	1
694	SACE_YCH	ERR9594589	2
695	CLG	ERR9594431	1
696	CQC	ERR9594495	1
697	CQD	ERR9594496	1
698	CQG	ERR9594499	1
699	CQI	ERR9594501	1
700	CQH	ERR9594500	1
701	CQL	ERR9594503	1
701	CQL	ERR9594504	2
702	ANN	ERR9593820	1
703	CQM	ERR9594505	1
704	CQE	ERR9594497	1
705	CQK	ERR9594502	1
706	CQF	ERR9594498	1
707	CQN	ERR9594506	1
708	CQP	ERR9594507	1
709	AKQ	ERR9593770	1
710	AKS	ERR9593772	1
711	ALG	ERR9593780	1
712	ABH	ERR9593614	1
713	SACE_YAN	ERR9594548	1
714	SACE_YBZ	ERR9594580	1
715	BTI	ERR9594233	1
716	CGB	ERR9594350	1
718	ABI	ERR9593615	1
719	SACE_YAT	ERR9594552	1
720	BSK	ERR9594217	1
721	BMD	ERR9594133	1
722	AAV	ERR9593606	1
723	BRV	ERR9594210	1
724	SACE_YAP	ERR9594549	1
725	SACE_YAQ	ERR9594550	1
726	SACE_YAR	ERR9594551	1
727	ABK	ERR9593616	1
728	SACE_YAU	ERR9594553	1
729	ABA	ERR9593607	1
730	SACE_YAV	ERR9594554	1
731	AAS	ERR9593604	1
732	AAT	ERR9593605	1
733	ABG	ERR9593613	1
734	SACE_YAK	ERR9594546	1
735	CEN	ERR9594330	1
736	SACE_YAW	ERR9594555	1
737	SACE_YBJ	ERR9594565	1
738	SACE_YBK	ERR9594566	1
739	SACE_YBL	ERR9594567	1
740	SACE_YBT	ERR9594573	1
741	ADK	ERR9593654	1
742	SACE_MAB	ERR9594538	1
743	CKA	ERR9594408	1
744	AGP	ERR9593713	1
745	SACE_YDH	ERR9594608	1
746	CHS	ERR9594383	1
747	CHT	ERR9594384	1
747	CHT	ERR9594385	2
748	ABD	ERR9593610	1
749	ATC	ERR9593891	1
749	ATC	ERR9593892	2
750	ATD	ERR9593893	1
751	ANA	ERR9593809	1
752	BBL	ERR9593952	1
753	CDC	ERR9594301	1
754	CDD	ERR9594302	1
755	CDE	ERR9594303	1
756	CPC	ERR9594479	1
757	BMF	ERR9594135	1
758	CKN	ERR9594420	1
759	CIG	ERR9594395	1
760	CIL	ERR9594399	1
761	AAG	ERR9593594	1
761	AAG	ERR9593595	2
762	AHA	ERR9593718	1
763	CII	ERR9594397	1
764	CIK	ERR9594398	1
765	BTA	ERR9594225	1
766	BDC	ERR9593983	1
767	BDF	ERR9593986	1
768	BDG	ERR9593987	1
769	CHQ	ERR9594381	1
770	ALR	ERR9593789	1
771	AEL	ERR9593672	1
772	AEE	ERR9593667	1
773	ARA	ERR9593857	1
774	ARB	ERR9593858	1
775	BTB	ERR9594226	1
776	ATB	ERR9593890	1
777	BIE	ERR9594080	1
778	BPA	ERR9594166	1
778	BPA	ERR9594167	2
779	AGT	ERR9593716	1
