std_name,StrainName,Reference,SRA,Clade,ecological_value,eco_cat1,eco_cat2,eco_cat3
XTRA_DYZ,bread002,Gallone et al. 2016,SRR5678575,21. Mixed Origins 2,Bread,Bread,Baking,Food
XTRA_DZA,beer009,Gallone et al. 2016,SRR5678576,19. UK Beer,Beer,Beer,Brewery,Food
XTRA_DZB,beer010,Gallone et al. 2016,SRR5678577,19. UK Beer,Beer,Beer,Brewery,Food
XTRA_DZC,bioethanol004,Gallone et al. 2016,SRR5678578,31. Huangjiu,Bioethanol,NA,Bioethanol,Industrial
XTRA_DZD,bioethanol003,Gallone et al. 2016,SRR5678579,31. Huangjiu,Bioethanol,NA,Bioethanol,Industrial
XTRA_DZE,bread001,Gallone et al. 2016,SRR5678580,21. Mixed Origins 2,Bread,Bread,Baking,Food
XTRA_DZF,bioethanol005,Gallone et al. 2016,SRR5678581,11. Brazilian Bioethanol,Bioethanol,NA,Bioethanol,Industrial
XTRA_DZG,beer001,Gallone et al. 2016,SRR5678584,19. UK Beer,Beer,Beer,Brewery,Food
XTRA_DZH,beer002,Gallone et al. 2016,SRR5678585,12. Belgium Beer 1,Beer,Beer,Brewery,Food
XTRA_DZI,beer007,Gallone et al. 2016,SRR5678596,19. UK Beer,Beer,Beer,Brewery,Food
XTRA_DZJ,beer008,Gallone et al. 2016,SRR5678600,18. Belgium Beer 2,Beer,Beer,Brewery,Food
XTRA_DZK,beer005,Gallone et al. 2016,SRR5678606,NA,Beer,Beer,Brewery,Food
XTRA_DZL,beer006,Gallone et al. 2016,SRR5678607,20. Mixed Origins 1,Beer,Beer,Brewery,Food
XTRA_DZM,beer003,Gallone et al. 2016,SRR5678608,12. Belgium Beer 1,Beer,Beer,Brewery,Food
XTRA_DZN,beer004,Gallone et al. 2016,SRR5678609,12. Belgium Beer 1,Beer,Beer,Brewery,Food
XTRA_DZO,bioethanol002,Gallone et al. 2016,SRR5678610,11. Brazilian Bioethanol,Bioethanol,NA,Bioethanol,Industrial
XTRA_DZP,bioethanol001,Gallone et al. 2016,SRR5678612,31. Huangjiu,Bioethanol,NA,Bioethanol,Industrial
XTRA_DZQ,beer042,Gallone et al. 2016,SRR5678615,19. UK Beer,Beer,Beer,Brewery,Food
XTRA_DZR,beer041,Gallone et al. 2016,SRR5678616,18. Belgium Beer 2,Beer,Beer,Brewery,Food
XTRA_DZS,beer043,Gallone et al. 2016,SRR5678618,18. Belgium Beer 2,Beer,Beer,Brewery,Food
XTRA_DZT,wild003,Gallone et al. 2016,SRR5678624,26. West African Cocoa,Wild,NA,Wild,Environmental
XTRA_DZU,wild004,Gallone et al. 2016,SRR5678625,34. South American Wild,Wild,NA,Wild,Environmental
XTRA_DZV,wild001,Gallone et al. 2016,SRR5678626,26. West African Cocoa,Wild,NA,Wild,Environmental
XTRA_DZW,wild002,Gallone et al. 2016,SRR5678627,26. West African Cocoa,Wild,NA,Wild,Environmental
XTRA_DZX,wine004,Gallone et al. 2016,SRR5678631,7. AU Wine 3,Wine,Wine,Brewery,Food
XTRA_DZY,wine005,Gallone et al. 2016,SRR5678632,7. AU Wine 3,Wine,Wine,Brewery,Food
XTRA_DZZ,wine006,Gallone et al. 2016,SRR5678633,1. AU Wine 1,Wine,Wine,Brewery,Food
XTRA_EAA,wine007,Gallone et al. 2016,SRR5678634,4. Commercial Wine,Wine,Wine,Brewery,Food
XTRA_EAB,wine001,Gallone et al. 2016,SRR5678636,7. AU Wine 3,Wine,Wine,Brewery,Food
XTRA_EAC,wine002,Gallone et al. 2016,SRR5678637,35. Chinese Wild,Wine,Wine,Brewery,Food
XTRA_EAD,wine003,Gallone et al. 2016,SRR5678638,8. AU Wine 4,Wine,Wine,Brewery,Food
XTRA_EAE,wine008,Gallone et al. 2016,SRR5678639,20. Mixed Origins 1,Wine,Wine,Brewery,Food
XTRA_EAF,wine009,Gallone et al. 2016,SRR5678640,7. AU Wine 3,Wine,Wine,Brewery,Food
XTRA_EAG,wine011,Gallone et al. 2016,SRR5678651,1. AU Wine 1,Wine,Wine,Brewery,Food
XTRA_EAH,wine010,Gallone et al. 2016,SRR5678652,4. Commercial Wine,Wine,Wine,Brewery,Food
XTRA_EAI,wine013,Gallone et al. 2016,SRR5678653,7. AU Wine 3,Wine,Wine,Brewery,Food
XTRA_EAJ,wine012,Gallone et al. 2016,SRR5678654,19. UK Beer,Wine,Wine,Brewery,Food
XTRA_EAK,wine015,Gallone et al. 2016,SRR5678655,1. AU Wine 1,Wine,Wine,Brewery,Food
XTRA_EAL,wine014,Gallone et al. 2016,SRR5678656,5. Georgian Wine,Wine,Wine,Brewery,Food
XTRA_EAM,wine017,Gallone et al. 2016,SRR5678657,8. AU Wine 4,Wine,Wine,Brewery,Food
XTRA_EAN,wine016,Gallone et al. 2016,SRR5678658,24. Lab Strains,Wine,Wine,Brewery,Food
XTRA_EAO,wine018,Gallone et al. 2016,SRR5678660,4. Commercial Wine,Wine,Wine,Brewery,Food
XTRA_EAP,spirits004,Gallone et al. 2016,SRR5678661,NA,Spirits,NA,Distillary,Food
XTRA_EAQ,spirits003,Gallone et al. 2016,SRR5678662,21. Mixed Origins 2,Spirits,NA,Distillary,Food
XTRA_EAR,spirits002,Gallone et al. 2016,SRR5678663,7. AU Wine 3,Spirits,NA,Distillary,Food
XTRA_EAS,spirits001,Gallone et al. 2016,SRR5678664,20. Mixed Origins 1,Spirits,NA,Distillary,Food
XTRA_EAT,spirits007,Gallone et al. 2016,SRR5678666,NA,Spirits,NA,Distillary,Food
XTRA_EAU,spirits006,Gallone et al. 2016,SRR5678667,NA,Spirits,NA,Distillary,Food
XTRA_EAV,spirits005,Gallone et al. 2016,SRR5678668,18. Belgium Beer 2,Spirits,NA,Distillary,Food
XTRA_EAW,beer030,Gallone et al. 2016,SRR5678671,NA,Beer,Beer,Brewery,Food
XTRA_EAX,beer029,Gallone et al. 2016,SRR5678672,20. Mixed Origins 1,Beer,Beer,Brewery,Food
XTRA_EAY,beer028,Gallone et al. 2016,SRR5678673,20. Mixed Origins 1,Beer,Beer,Brewery,Food
XTRA_EAZ,beer027,Gallone et al. 2016,SRR5678674,12. Belgium Beer 1,Beer,Beer,Brewery,Food
XTRA_EBA,beer026,Gallone et al. 2016,SRR5678675,18. Belgium Beer 2,Beer,Beer,Brewery,Food
XTRA_EBB,beer025,Gallone et al. 2016,SRR5678676,21. Mixed Origins 2,Beer,Beer,Brewery,Food
XTRA_EBC,beer024,Gallone et al. 2016,SRR5678677,7. AU Wine 3,Beer,Beer,Brewery,Food
XTRA_EBD,beer023,Gallone et al. 2016,SRR5678678,21. Mixed Origins 2,Beer,Beer,Brewery,Food
XTRA_EBE,beer022,Gallone et al. 2016,SRR5678679,18. Belgium Beer 2,Beer,Beer,Brewery,Food
XTRA_EBF,beer021,Gallone et al. 2016,SRR5678680,12. Belgium Beer 1,Beer,Beer,Brewery,Food
XTRA_EBG,beer039,Gallone et al. 2016,SRR5678681,12. Belgium Beer 1,Beer,Beer,Brewery,Food
XTRA_EBH,beer040,Gallone et al. 2016,SRR5678682,12. Belgium Beer 1,Beer,Beer,Brewery,Food
XTRA_EBI,beer031,Gallone et al. 2016,SRR5678683,18. Belgium Beer 2,Beer,Beer,Brewery,Food
XTRA_EBJ,beer032,Gallone et al. 2016,SRR5678684,12. Belgium Beer 1,Beer,Beer,Brewery,Food
XTRA_EBK,beer033,Gallone et al. 2016,SRR5678685,7. AU Wine 3,Beer,Beer,Brewery,Food
XTRA_EBL,beer034,Gallone et al. 2016,SRR5678686,12. Belgium Beer 1,Beer,Beer,Brewery,Food
XTRA_EBM,beer035,Gallone et al. 2016,SRR5678687,19. UK Beer,Beer,Beer,Brewery,Food
XTRA_EBN,beer036,Gallone et al. 2016,SRR5678688,19. UK Beer,Beer,Beer,Brewery,Food
XTRA_EBO,beer037,Gallone et al. 2016,SRR5678689,19. UK Beer,Beer,Beer,Brewery,Food
XTRA_EBP,beer038,Gallone et al. 2016,SRR5678690,21. Mixed Origins 2,Beer,Beer,Brewery,Food
XTRA_EBQ,beer045,Gallone et al. 2016,SRR5688143,19. UK Beer,Beer,Beer,Brewery,Food
XTRA_EBR,beer046,Gallone et al. 2016,SRR5688145,18. Belgium Beer 2,Beer,Beer,Brewery,Food
XTRA_EBS,beer047,Gallone et al. 2016,SRR5688147,19. UK Beer,Beer,Beer,Brewery,Food
XTRA_EBT,beer048,Gallone et al. 2016,SRR5688149,19. UK Beer,Beer,Beer,Brewery,Food
XTRA_EBU,beer049,Gallone et al. 2016,SRR5688151,19. UK Beer,Beer,Beer,Brewery,Food
XTRA_EBV,beer050,Gallone et al. 2016,SRR5688153,19. UK Beer,Beer,Beer,Brewery,Food
XTRA_EBW,beer051,Gallone et al. 2016,SRR5688155,19. UK Beer,Beer,Beer,Brewery,Food
XTRA_EBX,beer052,Gallone et al. 2016,SRR5688157,NA,Beer,Beer,Brewery,Food
XTRA_EBY,beer053,Gallone et al. 2016,SRR5688159,19. UK Beer,Beer,Beer,Brewery,Food
XTRA_EBZ,beer054,Gallone et al. 2016,SRR5688161,19. UK Beer,Beer,Beer,Brewery,Food
XTRA_ECA,beer055,Gallone et al. 2016,SRR5688163,19. UK Beer,Beer,Beer,Brewery,Food
XTRA_ECB,beer056,Gallone et al. 2016,SRR5688165,19. UK Beer,Beer,Beer,Brewery,Food
XTRA_ECC,beer057,Gallone et al. 2016,SRR5688167,19. UK Beer,Beer,Beer,Brewery,Food
XTRA_ECD,beer058,Gallone et al. 2016,SRR5688169,19. UK Beer,Beer,Beer,Brewery,Food
XTRA_ECE,beer059,Gallone et al. 2016,SRR5688171,12. Belgium Beer 1,Beer,Beer,Brewery,Food
XTRA_ECF,beer060,Gallone et al. 2016,SRR5688173,19. UK Beer,Beer,Beer,Brewery,Food
XTRA_ECG,beer061,Gallone et al. 2016,SRR5688175,21. Mixed Origins 2,Beer,Beer,Brewery,Food
XTRA_ECH,beer062,Gallone et al. 2016,SRR5688177,12. Belgium Beer 1,Beer,Beer,Brewery,Food
XTRA_ECI,beer063,Gallone et al. 2016,SRR5688179,12. Belgium Beer 1,Beer,Beer,Brewery,Food
XTRA_ECJ,beer064,Gallone et al. 2016,SRR5688181,19. UK Beer,Beer,Beer,Brewery,Food
XTRA_ECK,beer065,Gallone et al. 2016,SRR5688183,19. UK Beer,Beer,Beer,Brewery,Food
XTRA_ECL,beer066,Gallone et al. 2016,SRR5688185,19. UK Beer,Beer,Beer,Brewery,Food
XTRA_ECM,beer067,Gallone et al. 2016,SRR5688187,19. UK Beer,Beer,Beer,Brewery,Food
XTRA_ECN,beer068,Gallone et al. 2016,SRR5688189,19. UK Beer,Beer,Beer,Brewery,Food
XTRA_ECO,beer069,Gallone et al. 2016,SRR5688191,19. UK Beer,Beer,Beer,Brewery,Food
XTRA_ECP,beer070,Gallone et al. 2016,SRR5688193,19. UK Beer,Beer,Beer,Brewery,Food
XTRA_ECQ,beer071,Gallone et al. 2016,SRR5688195,19. UK Beer,Beer,Beer,Brewery,Food
XTRA_ECR,beer072,Gallone et al. 2016,SRR5688197,NA,Beer,Beer,Brewery,Food
XTRA_ECS,beer073,Gallone et al. 2016,SRR5688199,18. Belgium Beer 2,Beer,Beer,Brewery,Food
XTRA_ECT,beer074,Gallone et al. 2016,SRR5688201,NA,Beer,Beer,Brewery,Food
XTRA_ECU,beer075,Gallone et al. 2016,SRR5688203,18. Belgium Beer 2,Beer,Beer,Brewery,Food
XTRA_ECV,beer076,Gallone et al. 2016,SRR5688205,18. Belgium Beer 2,Beer,Beer,Brewery,Food
XTRA_ECW,beer077,Gallone et al. 2016,SRR5688207,18. Belgium Beer 2,Beer,Beer,Brewery,Food
XTRA_ECX,beer078,Gallone et al. 2016,SRR5688209,18. Belgium Beer 2,Beer,Beer,Brewery,Food
XTRA_ECY,beer079,Gallone et al. 2016,SRR5688211,19. UK Beer,Beer,Beer,Brewery,Food
XTRA_ECZ,beer080,Gallone et al. 2016,SRR5688213,12. Belgium Beer 1,Beer,Beer,Brewery,Food
XTRA_EDA,beer081,Gallone et al. 2016,SRR5688215,18. Belgium Beer 2,Beer,Beer,Brewery,Food
XTRA_EDB,beer082,Gallone et al. 2016,SRR5688217,19. UK Beer,Beer,Beer,Brewery,Food
XTRA_EDC,beer083,Gallone et al. 2016,SRR5688219,12. Belgium Beer 1,Beer,Beer,Brewery,Food
XTRA_EDD,beer084,Gallone et al. 2016,SRR5688221,12. Belgium Beer 1,Beer,Beer,Brewery,Food
XTRA_EDE,beer085,Gallone et al. 2016,SRR5688223,12. Belgium Beer 1,Beer,Beer,Brewery,Food
XTRA_EDF,beer086,Gallone et al. 2016,SRR5688225,12. Belgium Beer 1,Beer,Beer,Brewery,Food
XTRA_EDG,beer087,Gallone et al. 2016,SRR5688227,18. Belgium Beer 2,Beer,Beer,Brewery,Food
XTRA_EDH,beer088,Gallone et al. 2016,SRR5688229,NA,Beer,Beer,Brewery,Food
XTRA_EDI,beer089,Gallone et al. 2016,SRR5688231,19. UK Beer,Beer,Beer,Brewery,Food
XTRA_EDJ,beer090,Gallone et al. 2016,SRR5688233,19. UK Beer,Beer,Beer,Brewery,Food
XTRA_EDK,beer091,Gallone et al. 2016,SRR5688235,12. Belgium Beer 1,Beer,Beer,Brewery,Food
XTRA_EDL,beer092,Gallone et al. 2016,SRR5688237,12. Belgium Beer 1,Beer,Beer,Brewery,Food
XTRA_EDM,beer093,Gallone et al. 2016,SRR5688239,NA,Beer,Beer,Brewery,Food
XTRA_EDN,beer094,Gallone et al. 2016,SRR5688241,19. UK Beer,Beer,Beer,Brewery,Food
XTRA_EDO,beer095,Gallone et al. 2016,SRR5688243,NA,Beer,Beer,Brewery,Food
XTRA_EDP,beer096,Gallone et al. 2016,SRR5688245,NA,Beer,Beer,Brewery,Food
XTRA_EDQ,beer097,Gallone et al. 2016,SRR5688247,NA,Beer,Beer,Brewery,Food
XTRA_EDR,beer098,Gallone et al. 2016,SRR5688249,19. UK Beer,Beer,Beer,Brewery,Food
XTRA_EDS,beer099,Gallone et al. 2016,SRR5688251,19. UK Beer,Beer,Beer,Brewery,Food
XTRA_EDT,beer100,Gallone et al. 2016,SRR5688253,19. UK Beer,Beer,Beer,Brewery,Food
XTRA_EDU,beer101,Gallone et al. 2016,SRR5688255,19. UK Beer,Beer,Beer,Brewery,Food
XTRA_EDV,beer102,Gallone et al. 2016,SRR5688257,19. UK Beer,Beer,Beer,Brewery,Food
XTRA_EDW,laboratory002,Gallone et al. 2016,SRR5688259,24. Lab Strains,Lab,NA,NA,Lab
XTRA_EDX,spirits008,Gallone et al. 2016,SRR5688261,NA,Spirits,NA,Distillary,Food
XTRA_EDY,spirits009,Gallone et al. 2016,SRR5688263,NA,Spirits,NA,Distillary,Food
XTRA_EDZ,spirits010,Gallone et al. 2016,SRR5688265,NA,Spirits,NA,Distillary,Food
XTRA_EEA,spirits011,Gallone et al. 2016,SRR5688267,7. AU Wine 3,Spirits,NA,Distillary,Food
XTRA_EEB,wild005,Gallone et al. 2016,SRR5688269,21. Mixed Origins 2,Wild,NA,Wild,Environmental
XTRA_EEC,wild006,Gallone et al. 2016,SRR5688271,21. Mixed Origins 2,Wild,NA,Wild,Environmental
XTRA_EED,wild007,Gallone et al. 2016,SRR5688273,21. Mixed Origins 2,Wild,NA,Wild,Environmental
XTRA_EEE,wine019,Gallone et al. 2016,SRR5688275,11. Brazilian Bioethanol,Wine,Wine,Brewery,Food
XTRA_EEF,FJ7,Duan et al. 2018,SRR7851676,35. Chinese Wild,"Bark of Hovenia acerba, primeval forest",Bark,Tree,Plant
XTRA_EEG,F3-4,Duan et al. 2018,SRR7851677,13. French Dairy,Fermented mare's milk (kumis),Milk,Fermentation,Food
XTRA_EEH,JZ1-4,Duan et al. 2018,SRR7851678,13. French Dairy,Fermented cow milk,Milk,Fermentation,Food
XTRA_EEI,LM1-2,Duan et al. 2018,SRR7851679,13. French Dairy,Fermented yak milk,Milk,Fermentation,Food
XTRA_EEJ,NQ13-1,Duan et al. 2018,SRR7851680,13. French Dairy,Fermented mixed goat and yak milk,Milk,Fermentation,Food
XTRA_EEK,QH1-3,Duan et al. 2018,SRR7851681,NA,Fermented yak milk,Milk,Fermentation,Food
XTRA_EEL,QH21-3,Duan et al. 2018,SRR7851682,NA,Fermented yak milk,Milk,Fermentation,Food
XTRA_EEM,QH25-4,Duan et al. 2018,SRR7851683,NA,Fermented mixed goat and yak milk,Milk,Fermentation,Food
XTRA_EEN,QH45-2,Duan et al. 2018,SRR7851684,NA,Fermented yak milk,Milk,Fermentation,Food
XTRA_EEO,WM7-1,Duan et al. 2018,SRR7851685,13. French Dairy,Fermented goat milk,Milk,Fermentation,Food
XTRA_EEP,WM11-3,Duan et al. 2018,SRR7851686,13. French Dairy,Fermented mixed goat and yak milk,Milk,Fermentation,Food
XTRA_EEQ,BJ16,Duan et al. 2018,SRR7851687,35. Chinese Wild,"Bark of Quercus wutaishanica, secondary forest",Bark,Tree,Plant
XTRA_EER,BJ15,Duan et al. 2018,SRR7851688,35. Chinese Wild,"Bark of Quercus wutaishanica, secondary forest",Bark,Tree,Plant
XTRA_EES,BJ18,Duan et al. 2018,SRR7851689,35. Chinese Wild,"Bark of Quercus wutaishanica, secondary forest",Bark,Tree,Plant
XTRA_EET,BJ17,Duan et al. 2018,SRR7851690,35. Chinese Wild,"Bark of Quercus wutaishanica, secondary forest",Bark,Tree,Plant
XTRA_EEU,BJ19,Duan et al. 2018,SRR7851692,35. Chinese Wild,"Bark of Quercus wutaishanica, secondary forest",Bark,Tree,Plant
XTRA_EEV,BJ22,Duan et al. 2018,SRR7851693,35. Chinese Wild,"Bark of Carya cathayensis, secondary forest",Bark,Tree,Plant
XTRA_EEW,BJ21,Duan et al. 2018,SRR7851694,35. Chinese Wild,"Bark of Carya cathayensis, secondary forest",Bark,Tree,Plant
XTRA_EEX,BJ24,Duan et al. 2018,SRR7851695,35. Chinese Wild,"Bark of Ulmus macrocarpa, secondary forest",Bark,Tree,Plant
XTRA_EEY,BJ23,Duan et al. 2018,SRR7851696,35. Chinese Wild,"Bark of Ulmus macrocarpa, secondary forest",Bark,Tree,Plant
XTRA_EEZ,NGS21L.1,Duan et al. 2018,SRR7851697,NA,"Bark, primeval forest",Bark,Tree,Plant
XTRA_EFA,BJ25,Duan et al. 2018,SRR7851698,35. Chinese Wild,"Bark of Ulmus macrocarpa, secondary forest",Bark,Tree,Plant
XTRA_EFB,JZ10.1,Duan et al. 2018,SRR7851699,30. Mantou,Dry fermented dough,NA,Baking,Food
XTRA_EFC,LJQ13.C7,Duan et al. 2018,SRR7851700,30. Mantou,Fermenting dough,Dough,Fermentation,Food
XTRA_EFD,JT94.11,Duan et al. 2018,SRR7851701,30. Mantou,Dry fermented dough,NA,Baking,Food
XTRA_EFE,JTHB1,Duan et al. 2018,SRR7851702,30. Mantou,Dry fermented dough,NA,Baking,Food
XTRA_EFF,JT49.1,Duan et al. 2018,SRR7851703,30. Mantou,Dry fermented dough,NA,Baking,Food
XTRA_EFG,JT49.3,Duan et al. 2018,SRR7851704,30. Mantou,Dry fermented dough,NA,Baking,Food
XTRA_EFH,JT21.3,Duan et al. 2018,SRR7851705,30. Mantou,Dry fermented dough,NA,Baking,Food
XTRA_EFI,JT43.1,Duan et al. 2018,SRR7851706,30. Mantou,Dry fermented dough,NA,Baking,Food
XTRA_EFJ,JT10.10,Duan et al. 2018,SRR7851707,30. Mantou,Dry fermented dough,NA,Baking,Food
XTRA_EFK,JT21.1,Duan et al. 2018,SRR7851708,30. Mantou,Dry fermented dough,NA,Baking,Food
XTRA_EFL,FJ4,Duan et al. 2018,SRR7851709,37. Taiwan Wild 1,"Bark of Castanea mollissima, planted tree",Bark,Tree,Plant
XTRA_EFM,CJM19.6,Duan et al. 2018,SRR7851710,28. Baiju,Fermenting dough,Dough,Fermentation,Food
XTRA_EFN,CJM19.5,Duan et al. 2018,SRR7851711,28. Baiju,Fermenting dough,Dough,Fermentation,Food
XTRA_EFO,WL3,Duan et al. 2018,SRR7851712,NA,Fermenting dough,Dough,Fermentation,Food
XTRA_EFP,BT4,Duan et al. 2018,SRR7851713,NA,Fermenting dough,Dough,Fermentation,Food
XTRA_EFQ,BT3,Duan et al. 2018,SRR7851714,NA,Fermenting dough,Dough,Fermentation,Food
XTRA_EFR,BT2.8,Duan et al. 2018,SRR7851715,NA,Fermenting dough,Dough,Fermentation,Food
XTRA_EFS,BT2.6,Duan et al. 2018,SRR7851716,NA,Fermenting dough,Dough,Fermentation,Food
XTRA_EFT,BT1.1,Duan et al. 2018,SRR7851717,NA,Fermenting dough,Dough,Fermentation,Food
XTRA_EFU,XJ7.3,Duan et al. 2018,SRR7851718,NA,Fermenting dough,Dough,Fermentation,Food
XTRA_EFV,XJ2,Duan et al. 2018,SRR7851719,NA,"Apple, orchard",Apple,Fruit,Plant
XTRA_EFW,BJ3,Duan et al. 2018,SRR7851720,35. Chinese Wild,"Grape, orchard",Grape,Fruit,Plant
XTRA_EFX,FJ3,Duan et al. 2018,SRR7851721,37. Taiwan Wild 1,"Bark of Castanea mollissima, planted tree",Bark,Tree,Plant
XTRA_EFY,SX5,Duan et al. 2018,SRR7851722,35. Chinese Wild,"Bark of Quercus fabri, primeval forest",Bark,Tree,Plant
XTRA_EFZ,SX6,Duan et al. 2018,SRR7851723,35. Chinese Wild,"Bark of Quercus fabri, primeval forest",Bark,Tree,Plant
XTRA_EGA,SX4,Duan et al. 2018,SRR7851725,35. Chinese Wild,"Bark of a Fagaceae tree, primeval forest",Bark,Tree,Plant
XTRA_EGB,JXXY16.1,Duan et al. 2018,SRR7851726,35. Chinese Wild,"Bark, primeval forest",Bark,Tree,Plant
XTRA_EGC,SX7,Duan et al. 2018,SRR7851728,35. Chinese Wild,"Bark of a Fagaceae tree, primeval forest",Bark,Tree,Plant
XTRA_EGD,SX8,Duan et al. 2018,SRR7851729,35. Chinese Wild,"Bark of Quercus fabri, primeval forest",Bark,Tree,Plant
XTRA_EGE,JXXY10.1,Duan et al. 2018,SRR7851730,35. Chinese Wild,"Bark, primeval forest",Bark,Tree,Plant
XTRA_EGF,BJ14,Duan et al. 2018,SRR7851731,35. Chinese Wild,"Forest soil, secondary forest",NA,Soil,Environmental
XTRA_EGG,XXY30L.2,Duan et al. 2018,SRR7851732,35. Chinese Wild,"Bark, primeval forest",Bark,Tree,Plant
XTRA_EGH,JQHG.1,Duan et al. 2018,SRR7851733,30. Mantou,Fermenting dough,Dough,Fermentation,Food
XTRA_EGI,JQ8.4,Duan et al. 2018,SRR7851734,30. Mantou,Fermenting dough,Dough,Fermentation,Food
XTRA_EGJ,XXY26L.1,Duan et al. 2018,SRR7851735,35. Chinese Wild,"Bark, primeval forest",Bark,Tree,Plant
XTRA_EGK,HN6.1,Duan et al. 2018,SRR7851736,30. Mantou,Dry fermented dough,NA,Baking,Food
XTRA_EGL,CJM24.1,Duan et al. 2018,SRR7851737,30. Mantou,Fermenting dough,Dough,Fermentation,Food
XTRA_EGM,JQ8.3,Duan et al. 2018,SRR7851738,30. Mantou,Fermenting dough,Dough,Fermentation,Food
XTRA_EGN,JM28-16,Duan et al. 2018,SRR7851739,30. Mantou,Fermenting dough,Dough,Fermentation,Food
XTRA_EGO,427,Duan et al. 2018,SRR7851740,30. Mantou,Leaf of sorghum crop,Leaf,Sorghum,Plant
XTRA_EGP,229,Duan et al. 2018,SRR7851741,30. Mantou,"Jujube, orchard",Bark,Tree,Plant
XTRA_EGQ,BJ1,Duan et al. 2018,SRR7851742,30. Mantou,"Pear, orchard",Pear,Fruit,Plant
XTRA_EGR,502,Duan et al. 2018,SRR7851743,30. Mantou,Leaf of corn crop,Leaf,Corn,Plant
XTRA_EGS,BJ8,Duan et al. 2018,SRR7851744,35. Chinese Wild,"Bark of Quercus mongokica, secondary forest",Bark,Tree,Plant
XTRA_EGT,MLAF.1,Duan et al. 2018,SRR7851745,20. Mixed Origins 1,Active dry yeast,NA,Baking,Food
XTRA_EGU,SXJM4.1,Duan et al. 2018,SRR7851746,20. Mixed Origins 1,Fermenting dough,Dough,Fermentation,Food
XTRA_EGV,AF,Duan et al. 2018,SRR7851747,20. Mixed Origins 1,Active dry yeast,NA,Baking,Food
XTRA_EGW,AFB.1,Duan et al. 2018,SRR7851748,20. Mixed Origins 1,Active dry yeast,NA,Baking,Food
XTRA_EGX,BJ13,Duan et al. 2018,SRR7851749,NA,"Rotten wood, secondary forest",Bark,Tree,Plant
XTRA_EGY,XJ4,Duan et al. 2018,SRR7851750,NA,"Grape, orchard",Grape,Fruit,Plant
XTRA_EGZ,DBL.1,Duan et al. 2018,SRR7851751,20. Mixed Origins 1,Active dry yeast,NA,Baking,Food
XTRA_EHA,LSF.1,Duan et al. 2018,SRR7851752,20. Mixed Origins 1,Active dry yeast,NA,Baking,Food
XTRA_EHB,ANG1,Duan et al. 2018,SRR7851753,20. Mixed Origins 1,Active dry yeast,NA,Baking,Food
XTRA_EHC,BS,Duan et al. 2018,SRR7851754,20. Mixed Origins 1,Active dry yeast,NA,Baking,Food
XTRA_EHD,FJ9,Duan et al. 2018,SRR7851755,35. Chinese Wild,"Bark of Castanopsis fordii, primeval forest",Bark,Tree,Plant
XTRA_EHE,FJ8,Duan et al. 2018,SRR7851756,35. Chinese Wild,"Bark of Cyclobalanopsis nubium, primeval forest",Bark,Tree,Plant
XTRA_EHF,BJ26,Duan et al. 2018,SRR7851757,35. Chinese Wild,"Grape, orchard",Grape,Fruit,Plant
XTRA_EHG,FJ2,Duan et al. 2018,SRR7851758,37. Taiwan Wild 1,"Bark of Castanea mollissima, planted tree",Bark,Tree,Plant
XTRA_EHH,XXYS14.1,Duan et al. 2018,SRR7851759,35. Chinese Wild,"Bark, primeval forest",Bark,Tree,Plant
XTRA_EHI,YN6,Duan et al. 2018,SRR7851760,NA,"Bark of Castanopsis orthacantha, suburban tree",Bark,Tree,Plant
XTRA_EHJ,JL5,Duan et al. 2018,SRR7851761,35. Chinese Wild,"Bark of Pyrussp., orchard",Bark,Tree,Plant
XTRA_EHK,BJ27,Duan et al. 2018,SRR7851762,35. Chinese Wild,"Grape, orchard",Grape,Fruit,Plant
XTRA_EHL,155,Duan et al. 2018,SRR7851763,30. Mantou,corn,NA,Corn,Plant
XTRA_EHM,168,Duan et al. 2018,SRR7851764,30. Mantou,"Apple, orchard",Apple,Fruit,Plant
XTRA_EHN,JXXY1.1,Duan et al. 2018,SRR7851765,NA,"Bark, primeval forest",Bark,Tree,Plant
XTRA_EHO,JHBMY20.1,Duan et al. 2018,SRR7851766,NA,"Bark, secondary forest",Bark,Tree,Plant
XTRA_EHP,GT99.1,Duan et al. 2018,SRR7851767,NA,"Bark, primeval forest",Bark,Tree,Plant
XTRA_EHQ,GT39.1,Duan et al. 2018,SRR7851768,NA,"Bark, primeval forest",Bark,Tree,Plant
XTRA_EHR,FJSA40.2,Duan et al. 2018,SRR7851769,NA,"Bark, primeval forest",Bark,Tree,Plant
XTRA_EHS,FJ11,Duan et al. 2018,SRR7851770,NA,"Waxberry, market",Waxberry,Fruit,Plant
XTRA_EHT,HQ3.1,Duan et al. 2018,SRR7851771,30. Mantou,Huangjiu (rice wine) starter with Fermented monascus,Rice Wine,Brewery,Food
XTRA_EHU,JM32.3,Duan et al. 2018,SRR7851772,31. Huangjiu,Huangjiu (rice wine) starter,Rice Wine,Brewery,Food
XTRA_EHV,JM32.8,Duan et al. 2018,SRR7851773,31. Huangjiu,Huangjiu (rice wine) starter,Rice Wine,Brewery,Food
XTRA_EHW,JQ10.6,Duan et al. 2018,SRR7851774,31. Huangjiu,Dry fermented dough,NA,Baking,Food
