std_name,StrainName,Reference,SRA,Clade,ecological_value,eco_cat1,eco_cat2,eco_cat3
XTRA_DBT,FostersO,Barbosa et al. 2016,ERR1352859,19. UK Beer,Commercial brewing strain (ale),NA,Brewery,Food
XTRA_DBU,TUM 165,Barbosa et al. 2016,ERR1352860,19. UK Beer,Alt Beer,Beer,Brewery,Food
XTRA_DBV,FostersB,Barbosa et al. 2016,ERR1352861,19. UK Beer,Commercial brewing strain (ale),NA,Brewery,Food
XTRA_DBW,TUM 508,Barbosa et al. 2016,ERR1352862,19. UK Beer,Irish Ale,Ale,Brewery,Food
XTRA_DBX,TUM 210,Barbosa et al. 2016,ERR1352863,19. UK Beer,British Ale/Stout,Ale,Brewery,Food
XTRA_DBY,TUM 211,Barbosa et al. 2016,ERR1352864,19. UK Beer,Ale & Stout,Ale,Brewery,Food
XTRA_DBZ,Platinum,Barbosa et al. 2016,ERR1352865,20. Mixed Origins 1,Commercial bread dough,NA,Baking,Food
XTRA_DCA,TUM 506,Barbosa et al. 2016,ERR1352866,20. Mixed Origins 1,British Ale,Ale,Brewery,Food
XTRA_DCB,PYCC 4226,Barbosa et al. 2016,ERR1352867,20. Mixed Origins 1,Commercial bread dough,NA,Baking,Food
XTRA_DCC,TUM 480,Barbosa et al. 2016,ERR1352868,21. Mixed Origins 2,Opaque Beer,Beer,Brewery,Food
XTRA_DCD,CBS1585,Barbosa et al. 2016,ERR1352870,29. Sake,Sake moto,Sake,Distillary,Food
XTRA_DCE,CBS1598,Barbosa et al. 2016,ERR1352871,29. Sake,Sake moto,Sake,Distillary,Food
XTRA_DCF,TUM 184,Barbosa et al. 2016,ERR1352872,29. Sake,Alt Beer,Beer,Brewery,Food
XTRA_DCG,NRRL-Y-11572,Barbosa et al. 2016,ERR1352873,29. Sake,Sake moto,Sake,Distillary,Food
XTRA_DCH,TUM 380,Barbosa et al. 2016,ERR1352874,31. Huangjiu,Starter culture for Lambic,Beer,Brewery,Food
XTRA_DCI,TUM 68,Barbosa et al. 2016,ERR1352875,31. Huangjiu,Wheat Beer,Wheat Beer,Brewery,Food
XTRA_DCJ,TUM 127,Barbosa et al. 2016,ERR1352876,31. Huangjiu,Wheat Beer,Wheat Beer,Brewery,Food
XTRA_DCK,NRRL-Y-12844,Barbosa et al. 2016,ERR1352877,28. Baiju,NA,NA,NA,NA
XTRA_DCL,NRRL-YB-4084,Barbosa et al. 2016,ERR1352878,38. Taiwan Wild 2,Cocunut sap,Coconut,Tree,Plant
XTRA_DCM,D47,Coi et al. 2017,ERR560539,7. AU Wine 3,wine,Wine,Brewery,Food
XTRA_DCN,GUF54,Coi et al. 2017,ERR560540,5. Georgian Wine,flor,Wine,Brewery,Food
XTRA_DCO,TA12,Coi et al. 2017,ERR560541,5. Georgian Wine,flor,Wine,Brewery,Food
XTRA_DCP,K1,Coi et al. 2017,ERR560542,7. AU Wine 3,wine,Wine,Brewery,Food
XTRA_DCQ,L2056,Coi et al. 2017,ERR560543,2. AU Wine 2,wine,Wine,Brewery,Food
XTRA_DCR,L2226,Coi et al. 2017,ERR560544,1. AU Wine 1,wine,Wine,Brewery,Food
XTRA_DCS,1014,Coi et al. 2017,ERR560545,1. AU Wine 1,wine,Wine,Brewery,Food
